series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025"
Edina Police Department,86,92,148,113,103,101,115,112,100,89,92,129,95,110,94,115,134,117,141,111,78,100,96,109,94,114,110,124,120,123,170,125,109,104,128,152,112,109,124,88,99,121,108,121,98,116,100,92,85,75,109,99,94,142,99,125,115,117,135,133,133,108,120,120,107,125,117,103,99,124,86,97,97,102,93,86,107,108,139,133,119,128,87,116,121,128,112,125,111,107,96,107,144,118,99,123,105,110,130,110,121,125,147,104,67,107,114,113,87,82,110,96,111,105,103,114,110,113,117,119,87,66,91,96,82,107,104,100,107,107,104,94,66,94,85,116,101,109,121,90,88,100,111,80,104,88,94,119,98,107,112,103,138,117,107,120,104,105,98,88,105,83,111,107,92,84,80,99,88,63,67,80,97,106,89,111,82,82,104,103,88,75,101,109,100,103,121,104,107,122,93,83,80,75,89,74,112,101,91,91,69,86,72,104,63,86,75,74,72,89,85,90,103,72,63,68,50,51,76,45,71,65,63,116,84,88,76,82,46,58,62,64,108,111,66,95,81,87,55,66,50,50,66,84,75,73,87,97,72,70,61,58,81,58,79,70,70,84,74,68,61,63,67,53,51,54,63,61,77,69,111,133,55,80,83,64,55,0,0,0,0,0,0,0,0,0,0,0,48,28,63,46,68,55,110,79,50,68,94,69,53,63,55,65,67,66,92,76,53,70,56,40,45,46,43,48,66,60,51,65,48,49,51,73,53,56,65,60,61,63,80,76,61,41,70,55,68,62,54,89,70,84,77,75,65,59,76,56,53,50,51,42,61,74,73,69,78,79,63,80,52,47,51,79,67,58,69,80,71,68,75,78,72,56,57,62,88,61,57,81,56,63,88,83,52,59,63,83,59,82,83,73,64,90,80,77,75,62,48,59,46,53,74,46,40,59,45,70,60,47,61,67,63,82,77,94,70,66,62,45,64,56,49,31,46,41,50,81,100,79,69,57,49,48,46,60,50,58,58,62,87,78,66,78,61,67,82,71,71,84,74,81,63,87,56,52,48,41,47,65,87,62,77,78,46,54,53,57,41,39,51,37,49,48,48,52,54,50,61,50,41,37,44,49,43,43,47,60,
Edina Police Department Clearances,33,41,63,40,41,29,28,26,29,27,27,43,28,33,42,37,44,33,26,26,22,28,23,31,40,36,40,47,44,27,48,35,37,38,45,57,45,46,41,29,29,39,25,35,31,41,31,40,28,34,36,38,34,22,31,41,42,48,44,49,59,38,40,30,37,39,40,32,24,39,27,37,40,38,31,22,30,27,29,39,37,39,25,42,52,67,39,41,34,28,28,35,47,35,38,36,41,42,54,38,37,28,30,21,15,21,21,39,27,14,31,29,30,20,25,29,26,25,29,39,28,21,22,23,20,34,19,23,26,17,28,30,13,32,28,34,29,15,25,24,16,26,29,34,23,23,24,32,27,19,31,18,37,39,32,44,30,37,29,20,27,19,14,15,18,23,25,29,27,19,23,26,20,20,21,31,18,24,27,22,19,15,25,23,15,28,35,36,39,36,29,27,38,30,32,28,28,20,16,20,24,12,21,20,23,28,24,19,20,14,12,18,16,23,19,15,16,8,23,14,23,24,15,31,20,25,21,22,9,22,22,19,35,35,9,26,25,26,20,23,22,17,22,31,38,24,35,26,20,16,21,31,37,27,42,27,24,34,21,23,30,26,23,10,17,12,28,16,31,19,29,34,22,19,30,25,17,0,0,0,0,0,0,0,0,0,0,0,8,11,29,12,25,12,28,25,19,14,34,19,19,27,18,22,19,10,25,26,8,23,15,16,13,11,24,18,13,23,20,12,14,14,22,23,14,23,22,17,13,14,15,22,11,9,14,11,16,13,13,16,5,17,14,11,16,14,19,16,9,11,14,15,17,21,14,23,11,22,17,30,14,19,17,24,16,15,17,20,21,26,23,36,26,14,18,19,25,21,12,20,16,18,21,24,17,19,20,12,12,23,25,29,32,39,26,28,22,22,17,21,12,17,25,20,11,15,15,18,18,15,18,19,18,23,17,17,20,24,18,14,27,13,21,16,5,7,7,16,14,11,9,14,10,4,5,12,11,5,12,18,27,21,5,10,14,11,17,18,18,14,16,10,10,15,15,15,12,9,8,16,30,25,20,7,7,13,7,10,8,12,12,10,11,18,25,19,28,20,19,19,14,17,18,21,24,22,23,19,
