series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025"
Minneapolis Police Department,146,137,182,183,207,198,252,221,200,270,202,163,156,158,221,230,250,273,306,304,196,194,183,151,132,142,186,159,177,167,215,197,186,207,201,145,182,126,167,188,165,226,260,207,282,218,215,184,164,160,144,199,276,228,271,200,206,196,163,128,114,,,,,,,,,,,,0,0,552,0,0,553,0,0,683,0,0,683,0,0,615,0,0,615,0,0,615,0,0,619,0,0,682,0,0,682,0,0,682,0,0,681,250,249,248,248,249,249,249,249,249,249,249,252,236,237,238,238,239,239,239,238,237,237,238,236,246,246,246,247,247,247,247,248,248,248,248,249,0,0,0,0,0,0,0,0,0,0,0,2831,0,0,0,0,0,0,0,0,0,0,0,2637,0,0,0,0,0,0,0,0,0,0,0,2349,0,0,0,0,0,975,0,0,0,0,0,1009,0,0,0,0,0,770,0,0,0,0,0,946,0,0,0,0,0,922,0,0,0,0,0,998,0,0,0,0,0,921,0,0,0,0,0,974,102,106,126,151,195,186,218,186,222,216,163,165,116,140,173,230,176,236,229,244,279,244,165,207,0,0,0,0,0,1406,0,0,0,0,0,1430,0,0,0,0,0,1237,0,0,0,0,0,1324,0,0,0,0,0,1132,0,0,0,0,0,1238,0,0,0,0,0,1003,0,0,0,0,0,1145,0,0,0,0,0,1003,0,0,0,0,0,990,0,0,0,0,0,869,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,1711,109,107,124,135,156,159,196,170,195,164,135,111,151,78,140,137,178,182,182,194,136,179,117,128,139,129,161,166,200,166,233,176,207,164,174,130,156,106,190,226,196,218,221,248,162,210,175,180,168,118,148,220,236,202,211,241,197,169,200,129,137,115,147,139,174,195,151,137,171,129,114,139,156,151,149,159,197,233,257,226,192,177,165,153,176,153,166,164,253,322,341,300,261,267,237,179,160,139,176,226,313,323,323,286,276,303,254,185,216,222,215,194,322,301,335,284,263,268,218,175,211,156,210,260,286,265,288,250,240,235,266,246,220,189,202,236,268,294,266,247,296,234,236,202,183,180,213,200,266,267,256,277,97
Minneapolis Police Department Clearances,87,63,76,87,76,75,106,130,98,90,121,99,90,104,137,121,125,106,153,140,89,82,90,66,51,67,93,68,75,83,127,100,102,79,91,80,101,73,103,94,81,113,130,121,169,127,139,123,107,97,81,96,130,118,136,103,121,88,85,74,49,,,,,,,,,,,,0,0,292,0,0,0,0,0,0,0,0,0,0,0,294,0,0,294,0,0,294,0,0,301,0,0,342,0,0,342,0,0,342,0,0,346,120,120,120,120,120,120,120,120,120,120,120,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,71,46,91,72,48,95,171,76,93,59,87,62,84,76,97,104,94,49,72,75,103,69,59,0,0,0,0,0,557,0,0,0,0,0,603,0,0,0,0,0,419,0,0,0,0,0,557,0,0,0,0,0,327,0,0,0,0,0,600,0,0,0,0,0,488,0,0,0,0,0,534,0,0,0,0,0,677,0,0,0,0,0,587,0,0,0,0,0,504,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,894,64,52,75,56,77,61,87,89,84,97,73,59,97,67,45,76,75,85,62,96,82,87,64,69,68,71,69,87,63,77,91,60,90,86,61,55,89,54,95,64,66,86,86,71,58,90,52,71,90,66,73,84,83,92,59,93,65,127,78,66,107,51,89,64,76,27,26,34,21,21,25,21,50,55,55,70,71,85,77,81,73,94,82,91,73,64,82,79,82,60,78,90,74,89,74,67,70,61,69,74,58,66,71,75,55,66,57,70,78,63,81,95,93,69,99,85,116,66,106,84,78,69,86,91,91,79,111,84,90,91,93,144,84,119,83,97,96,77,104,98,131,149,87,105,95,117,138,117,167,98,131,98,96
