series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025"
Otter Tail County Sheriff's Office,19,14,18,27,37,43,65,42,30,36,15,21,29,14,19,18,34,43,44,32,27,33,17,59,41,19,21,15,41,41,47,26,28,19,18,19,27,29,19,22,30,38,38,41,31,28,25,35,13,9,10,14,28,25,30,29,23,22,16,21,43,21,15,20,26,36,58,32,25,28,22,18,17,23,20,27,31,51,52,36,40,31,17,73,31,13,8,23,20,55,64,46,49,30,10,17,18,18,16,25,32,38,43,36,45,22,19,18,12,8,17,20,40,39,24,31,27,40,26,24,38,20,15,25,48,46,46,53,35,23,17,29,15,14,20,18,30,57,73,58,29,37,24,19,20,21,16,17,38,61,41,55,49,26,16,59,12,19,21,26,31,40,39,27,28,27,30,21,14,30,13,17,40,53,53,44,26,34,27,20,29,39,20,11,32,60,57,51,33,24,18,11,32,21,18,19,31,47,48,37,47,20,22,18,39,32,20,27,30,33,48,44,30,27,21,24,36,34,8,13,27,37,41,23,34,21,19,33,37,24,22,17,30,29,41,32,29,34,11,18,27,17,14,25,29,41,50,40,36,27,26,27,22,14,9,12,32,22,31,27,23,30,19,21,18,27,15,20,18,37,42,43,26,25,26,18,23,9,17,13,26,41,34,55,24,29,14,20,10,15,10,13,30,21,32,22,25,31,17,22,12,12,10,8,23,39,34,22,26,14,14,10,14,8,11,7,20,27,50,32,17,29,16,9,10,18,16,20,22,45,22,29,27,28,26,9,19,15,15,16,29,28,29,30,15,17,18,13,12,6,12,11,20,21,29,26,22,26,21,20,12,26,9,14,12,19,17,30,14,15,17,9,12,12,9,12,24,21,27,36,19,12,14,8,18,11,14,15,12,20,28,28,24,11,4,11,12,14,8,6,12,17,12,15,13,9,9,10,18,6,10,10,6,13,10,20,13,17,8,6,3,10,6,9,12,9,24,17,12,16,6,11,9,4,10,13,16,13,9,10,3,3,5,7,10,6,8,8,3,5,9,3,1,3,0,1,4,6,1,12,19,13,9,8,10,6,5,5,5,11,4,13,10,6,7,7,15,14,18,7,9,2,3,5,7,6,8,5,1
Otter Tail County Sheriff's Office Clearances,6,2,6,4,4,10,7,5,4,4,2,3,16,4,4,5,1,3,8,5,2,7,3,5,22,7,6,2,3,5,7,2,2,4,1,1,4,12,5,4,3,5,8,5,3,3,5,4,4,3,4,4,2,0,4,6,2,4,2,0,9,8,5,5,7,6,8,0,5,4,4,1,3,3,3,3,4,6,10,4,6,2,2,11,4,2,0,6,4,10,9,10,13,5,2,4,5,8,5,4,11,3,3,6,4,3,0,1,4,3,5,6,4,4,2,3,4,4,8,3,4,6,4,4,10,8,6,12,12,2,2,5,6,6,6,4,2,6,13,5,2,2,5,1,6,5,4,6,10,11,7,7,14,0,4,8,1,3,3,5,4,2,8,6,4,4,3,4,1,5,3,2,11,13,10,0,1,8,0,3,6,10,4,2,6,12,8,7,3,3,7,0,14,7,7,3,5,4,4,5,7,1,4,4,7,5,4,7,3,5,5,10,6,5,4,4,6,7,3,2,4,6,3,2,4,2,2,1,3,4,5,0,6,2,3,5,4,6,1,3,1,2,4,7,3,7,6,6,10,2,3,2,5,6,2,2,2,5,4,5,6,10,7,4,6,5,4,2,2,6,5,12,7,5,8,1,9,3,5,3,5,9,4,9,4,9,5,4,0,0,2,3,7,7,10,3,4,5,2,8,2,3,3,1,9,5,7,9,7,5,2,3,4,0,5,3,5,5,15,8,2,8,8,0,2,1,7,9,4,3,8,5,6,6,13,0,1,4,6,3,7,5,8,3,6,6,3,5,4,2,4,4,7,1,5,6,3,6,6,1,1,4,1,0,2,3,3,9,8,6,3,3,2,4,1,2,7,2,2,5,4,4,5,1,2,1,2,2,6,6,5,2,4,1,0,0,2,4,0,1,0,1,3,1,3,1,3,0,1,0,3,3,1,3,3,0,0,0,0,2,0,3,1,0,1,0,1,4,2,0,1,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,5,2,2,0,0,1,0,0,0,0,3,0,0,0,15,3,0,0,0,2,1,1,1,0,1,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
